"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"HOLE";1;"HOLE";;;
2;"D1";"LED_D3.0mm";1;"LED";;;
3;"SW1";"RA13_SW";1;"SW_SPST";;;
4;"J1,J3,J2";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";3;"Conn_01x02_Male";;;
5;"CON1";"712A-DC-JACK";1;"BARREL_JACK";;;
6;"L2,L1,L4,L3";"L_Sunlord_MWSA0518_5.4x5.2mm";4;"10µH";;;
7;"U3";"CUI_VXO780XX-500";1;"VX078-500";;;
8;"C7";"CP_Elec_6.3x7.7";1;"220µ";;;
9;"C2,C5";"C_0805_2012Metric";2;"4.7µ";;;
10;"U1,U2";"VXO78012-1000";2;"VX078012-1000";;;
11;"TP1";"TEST_POINT_LOOP_4592";1;"CONN_1";;;
12;"C6,C16,C3,C12,C14,C13,C15";"C_1206_3216Metric";7;"22µ";;;
13;"C11,C9,C10";"C_1206_3216Metric";3;"10µ";;;
14;"P1,P2";"IDC-Header_2x08_P2.54mm_Vertical";2;"CONN_02X08";;;
15;"D2";"D_SMA";1;"SS54";;;
16;"C4,C1";"C_0603_1608Metric";2;"1µ";;;
17;"R1";"R_0603_1608Metric";1;"3.3K";;;
18;"C8";"C_1206_3216Metric";1;"4.7µ";;;
