Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µ,C_0603_1608Metric,-2.7,-106.25,0,bottom
C2,4.7µ,C_0805_2012Metric,-2.9,-108,0,bottom
C3,22µ,C_1206_3216Metric,-3.5,-104.25,0,bottom
C4,1µ,C_0603_1608Metric,-17.3,-106.25,0,bottom
C5,4.7µ,C_0805_2012Metric,-17.1,-108.25,0,bottom
C6,22µ,C_1206_3216Metric,-16.5,-110.5,0,bottom
C7,220µ,CP_Elec_6.3x7.7,-15.5,-25.5,90,bottom
C8,4.7µ,C_1206_3216Metric,-17,-38,0,bottom
C9,10µ,C_1206_3216Metric,-10.25,-47.25,180,bottom
C10,10µ,C_1206_3216Metric,-17,-53.5,0,bottom
C11,10µ,C_1206_3216Metric,-5,-53.75,180,bottom
C12,10µ,C_0603_1608Metric,-8.5,-73.25,180,bottom
C13,10µ,C_0603_1608Metric,-8.5,-66.9575,180,bottom
C14,22µ,C_1206_3216Metric,-2.5,-32.75,90,bottom
C15,22µ,C_1206_3216Metric,-16.5,-104.25,0,bottom
C16,22µ,C_1206_3216Metric,-3.5,-110.25,0,bottom
D2,SS54,D_SMA,-13.5,-33.5,180,bottom
L1,10µH,L_Sunlord_MWSA0518_5.4x5.2mm,-15.5,-49,-90,bottom
L2,10µH,L_Sunlord_MWSA0518_5.4x5.2mm,-13.5,-42.25,180,bottom
L3,10µH,L_Sunlord_MWSA0518_5.4x5.2mm,-4.5,-49,180,bottom
L4,10µH,L_Sunlord_MWSA0518_5.4x5.2mm,-4,-70.5,-90,bottom
R1,3.3K,R_0603_1608Metric,-12.75,-69,0,bottom
